0B,1.0000,0.0000,0.0000,0.0000,15.0000,-30.0000,-60.0000
0B,0.0000,1.0000,0.0000,0.0000,15.0000,10.0000,140.0000
0B,0.0000,0.0000,1.0000,0.0000,35.0000,-30.0000,140.0000
0B,0.0000,0.0000,0.0000,1.0000,35.0000,10.0000,-60.0000
0B,0.7071,0.7071,0.0000,0.0000,15.0000,90.0000,20.0000
0B,0.7071,-0.7071,0.0000,0.0000,15.0000,-110.0000,60.0000
0B,0.7071,0.0000,0.7071,0.0000,-75.0000,-30.0000,50.0000
0B,0.7071,0.0000,-0.7071,0.0000,125.0000,-30.0000,30.0000
0B,0.7071,0.0000,0.0000,0.7071,45.0000,-20.0000,-60.0000
0B,0.7071,0.0000,0.0000,-0.7071,5.0000,0.0000,-60.0000
